Ratio,Old Enc,New Enc,Enc Δ,Old MLP,New MLP,MLP Δ
0.1,27.6,31.81,4.209999999999997,31.34,31.94,0.6000000000000014
0.3,72.39999999999999,68.95,-3.4499999999999886,55.96,68.14,12.18
0.5,76.37,74.59,-1.7800000000000011,73.99,75.59,1.6000000000000085
0.7,77.2,77.79,0.5900000000000034,77.86,78.19,0.3299999999999983
0.9,80.62,79.49000000000001,-1.1299999999999955,80.84,79.61,-1.230000000000004
